"filename", "language", "XML", "JSON", "C#", "Swift", "YAML", "Properties", "Gradle", "C++", "HTML", "Dart", "Markdown", "Docker", "comment", "blank", "total"
"c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\WeatherNotificationFilterDb.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IAdditionalUserRoleRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IAddressRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\ICityRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\ICountryRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IDeviceRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IPaymentMethodRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IPersonAddressRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IPersonRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IRepository.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IRoleProfileRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IStateRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
